Date,Open,Low,High,Close,Volume
"Nov 4, 2008",20,20,20,20,2
"Nov 6, 2008",10,10,10,10,2
"Nov 7, 2008",10,10,10,10,0
"Nov 8, 2008",9,9,9,9,0
"Nov 9, 2008",8.9,8.9,8.9,7,1
"Nov 10, 2008",8.9,8.9,8.9,7,2
"Nov 11, 2008",9.5,9.5,9.5,7,20
"Nov 12, 2008",10.7,10.7,10.7,10.7,0
"Nov 13, 2008",10.2,10.2,10.2,10.2,0
"Nov 14, 2008",11,11,11,11,2
"Nov 15, 2008",11,11,11,11,0
"Nov 16, 2008",11.7,11.7,11.7,11.7,0
"Nov 17, 2008",11.7,11.7,11.7,11.7,0
"Nov 18, 2008",11.7,11.7,11.7,11.7,0
"Nov 19, 2008",11.7,11.7,11.7,11.7,0
"Nov 26, 2008",11,11,11,11,0
"Nov 27, 2008",11,11,11,11,0
"Nov 28, 2008",11,11,11,11,0
"Nov 29, 2008",11,11,11,11,0
"Nov 30, 2008",11,11,11,11,0
"Dec 1, 2008",11,11,11,11,0
"Dec 2, 2008",11,11,11,11,0
"Dec 3, 2008",11,11,11,11,0
"Dec 4, 2008",11,11,11,11,0
"Dec 5, 2008",11,11,11,11,0
"Dec 6, 2008",11,11,11,11,0
"Dec 7, 2008",10,10,10.9,10.9,7
"Dec 8, 2008",10.9,10.9,10.9,10.9,0
"Dec 9, 2008",10.1,10.1,10.1,10.1,4
"Dec 10, 2008",10.1,10.1,10.1,10.1,0
"Dec 11, 2008",10.1,10.1,10.1,10.1,0
"Dec 12, 2008",10.1,10.1,10.1,10.1,0
"Dec 13, 2008",10.1,10.1,10.1,10.1,0
"Dec 14, 2008",10.1,10.1,10.1,10.1,0
"Dec 15, 2008",10.1,10.1,10.1,10.1,0
"Dec 16, 2008",10.1,10.1,10.1,10.1,0
"Dec 17, 2008",10.1,10.1,10.1,10.1,0
"Dec 18, 2008",10.1,10.1,10.1,10.1,0
"Dec 19, 2008",10.1,10.1,10.1,10.1,0
"Dec 20, 2008",10.1,10.1,10.1,10.1,0
"Dec 21, 2008",10.1,10.1,10.1,10.1,0
"Dec 22, 2008",10.1,10.1,10.1,10.1,0
"Dec 23, 2008",10.1,10.1,10.1,10.1,0
"Dec 24, 2008",10.1,10.1,10.1,10.1,0
"Dec 25, 2008",10.1,10.1,10.1,10.1,0
"Dec 26, 2008",10.1,10.1,10.1,10.1,0
"Dec 27, 2008",10.1,10.1,10.1,10.1,0
"Dec 28, 2008",10.1,10.1,10.1,10.1,0
"Dec 29, 2008",10.1,10.1,10.1,10.1,0
"Dec 30, 2008",10.1,10.1,10.1,10.1,0
"Dec 31, 2008",10.1,10.1,10.1,10.1,0
"Jan 1, 2009",10.1,10.1,10.1,10.1,0
"Jan 2, 2009",10.1,10.1,10.1,10.1,0
"Jan 3, 2009",10.1,10.1,10.1,10.1,0
"Jan 4, 2009",10.1,10.1,10.1,10.1,0
"Jan 5, 2009",10.1,10.1,10.1,10.1,0
"Jan 6, 2009",10.1,10.1,10.1,10.1,0
"Jan 7, 2009",10.1,10.1,10.1,10.1,0
"Jan 8, 2009",10.1,10.1,10.1,10.1,0
"Jan 9, 2009",10.1,10.1,10.1,10.1,0
"Jan 10, 2009",10.1,10.1,10.1,10.1,0
"Jan 11, 2009",10.1,10.1,10.1,10.1,0
"Jan 12, 2009",10.1,10.1,10.1,10.1,0
"Jan 13, 2009",10.1,10.1,10.1,10.1,0
"Jan 14, 2009",10.1,10.1,10.1,10.1,0
"Jan 15, 2009",10.1,10.1,10.1,10.1,0
"Jan 16, 2009",10.1,10.1,10.1,10.1,0
